wallet,smart_money_score,realized_pnl_usd,total_bought,total_sold,net_position,distinct_tokens_traded,timing_score,funding_source,in_funding_cluster,cluster_size,flagged_coordinated,flagged_fresh_big_buy
0x6d0d19bdddc5ed1dd501430c9621dd37ebd9062d,0.1503,-5687.9948463662195,208945.18,190239.44,18705.73999999999,1.0,0.0,not_analyzed,False,1.0,True,True
0xc29b8ab20f59623fa15564470eb22f16433eb0b7,0.1503,0.0,1262295.1559082486,1240177.832,22117.323908248683,1.0,0.0,not_analyzed,False,1.0,True,True
0x52d9b87362e55f14d88896fba76a16decde78fe2,0.1503,-11787.057649397544,1200000.0,1183417.2109423298,16582.78905767016,1.0,0.0,not_analyzed,False,1.0,True,True
0x983addf2bb72393a7e8fba0337894e18d387fdbb,0.1502,0.0,52005.419,36628.3868,15377.032200000001,1.0,0.0,not_analyzed,False,1.0,True,True
0xda1622e50e9d8235bae6b9a0315911a50b8b467f,0.1502,0.0,750000.0,738500.0,11500.0,1.0,0.0,not_analyzed,False,1.0,True,True
0xefa9df56b2c0e1c7a21f805c1843f711a64bd5b2,0.1502,0.0,103829.1087669507,93442.33343453456,10386.775332416131,1.0,0.0,not_analyzed,False,1.0,True,True
0x5a5f9d7e7f487e71d08df5e0e103da291820a529,0.144,0.0,184594.01,54596.01,129998.0,1.0,0.4466099680234581,unknown,False,1.0,True,False
0x9da8bfa73922ba179b7ce8dc9d5d1d4444e48878,0.1408,0.0,1396850.023658432,15900.0,1380950.023658432,1.0,0.2963289939137008,unknown,False,1.0,True,False
0xa7317b08496f9b521f1845a03b97ef1b96fd7327,0.1269,-320.51922187076855,136375.39094542986,30568.682158718064,105806.7087867118,1.0,0.3351130599890295,unknown,False,1.0,True,False
0xd6a9c97ac82001b930574851e0a4bda2153d688a,0.1176,0.0,190100.0,80000.0,110100.0,1.0,0.2726459969210845,unknown,False,1.0,True,False
0x51a83ff70f329252415477cd370463dec737fc3e,0.1173,0.0,149201.58929860438,49000.0,100201.58929860438,1.0,0.27188998404874876,unknown,False,1.0,True,False
0x5e9e957a5794ee460f0e00e378d12f2032cf5ded,0.1139,0.0,300119.7296434805,10.0,300109.7296434805,1.0,0.2280537929776525,unknown,False,1.0,True,False
0xd19eab591fc1840c237488a180ced4aad9faecf8,0.1137,0.0,2500250.0,250.0,2500000.0,1.0,0.0,unknown,False,1.0,True,False
0x1ef7a8dc436253b28167153aec7a1562bf73551c,0.1137,0.0,2500250.0,250.0,2500000.0,1.0,0.0,unknown,False,1.0,True,False
0x50e6d8485b448de44cd9d9c979d5d8ed36bd82cb,0.1137,0.0,2500250.0,250.0,2500000.0,1.0,0.0,unknown,False,1.0,True,False
0x45c2ce0e950af67e00138ae391f878a5485c539a,0.1122,0.0,147760.0,0.0,147760.0,1.0,0.23247263124879602,unknown,False,1.0,True,False
0xafc114a21ac519fdf0a5122b80934dee1110963d,0.1099,0.0,500809.3077790288,0.0,500809.3077790288,1.0,0.18103512835571833,unknown,False,1.0,True,False
0x4925ff85c234889d70b676d7620aa14c5a63411e,0.104,-79.1178146857974,101381.66,1000.0,100381.66,1.0,0.18302075268604467,unknown,False,1.0,True,False
0x63d6d7783e5616897d03f1a2667ef0b75b815d6c,0.1036,0.0,161660.5758646632,15070.0,146590.5758646632,1.0,0.17578796388254037,unknown,False,1.0,True,False
0xfc00765f4f30c28664182181f40c15fba8378e75,0.1017,0.0,247767.9234430308,42690.0,205077.9234430308,1.0,0.15671655794782602,unknown,False,1.0,True,False
0x446b86a33e2a438f569b15855189e3da28d027ba,0.0948,0.0,1479647.23,200000.0,1279647.23,1.0,0.0,unknown,False,1.0,True,False
0x8be69f44e65bd8ebd7b6cfb728d06d707fa4665d,0.0913,1163.6487303654944,88593.33675693904,53060.92278886203,35532.41396807701,1.0,0.0,not_analyzed,False,1.0,True,False
0xe8fdfb7b89519ed7c4999a912abf315e6aa52b6f,0.0905,0.0,4000000.0,3000000.0,1000000.0,1.0,0.0,unknown,False,1.0,False,True
0x2f76b6259f56cc5091f5531d8c359d0212886cdd,0.0879,-4001.8781618786634,129010.68003956227,15831.207477789094,113179.47256177317,1.0,0.07437102806359541,unknown,False,1.0,True,False
0x4c6a97b0fe0cbba1c640c8316604822ac833ae55,0.0863,718.8340120381212,116806.84509072838,17000.0,99806.84509072838,1.0,0.0,not_analyzed,False,1.0,True,False
0x3c2012166487e802c2e6e3610c4fded054915ba7,0.0835,603.2331894464795,28447.940000000002,8179.005653128943,20268.934346871058,1.0,0.0,not_analyzed,False,1.0,True,False
0xb1dd70e9375c880f196f218861b3365ef829752b,0.0818,0.0,303151.2179337898,0.0,303151.2179337898,1.0,0.014153286271987309,unknown,False,1.0,True,False
0xb8e6d31e7b212b2b7250ee9c26c56cebbfbe6b23,0.0815,0.0,6225525.687989627,5977525.0,248000.687989627,1.0,0.017535833432017256,unknown,False,1.0,True,False
0xf2ccdb6bf6c217316c3f569cc1ea03bba849afbf,0.0809,0.0,384016.6791618548,0.0,384016.6791618548,1.0,0.0,unknown,False,1.0,True,False
0x1c7444951ac9c4f8f59495f8d82896fe79d17508,0.0809,0.0,384360.601111721,0.0,384360.601111721,1.0,0.0,unknown,False,1.0,False,True
0x1131b8f76484e7cdba067912f84c9246e5a0ab2d,0.0791,0.0,268052.5424,0.0,268052.5424,1.0,0.0,unknown,False,1.0,True,False
0xa91f995b4f5bb08577cd141313d976867e8433aa,0.0789,0.0,469000.015,218000.0,251000.015,1.0,0.0,unknown,False,1.0,True,False
0xbe237a6940e0a63d0b67a0eb6487cd8c5b3b51e3,0.0789,0.0,250000.0,0.0,250000.0,1.0,0.0,unknown,False,1.0,True,False
0xd7b9bf2cc7393d1faf81777d7edf02547519f4a0,0.0787,0.0,650437.2498164423,413499.7268001966,236937.5230162457,1.0,0.0,unknown,False,1.0,True,False
0xd623722f2d4b3ef8716764aac6131454259ef4a9,0.0784,241.60888812657214,19868.144017356208,8450.0,11418.144017356208,1.0,0.0,not_analyzed,False,1.0,True,False
0xc8b60e60e7f6b4fabe33ab07a3907674e61fc6df,0.0782,0.0,204989.0,0.0,204989.0,1.0,0.0,unknown,False,1.0,True,False
0xc348cdad55c576efb3c98a5e47ccc3ed94cf4805,0.0778,0.0,196084.71233711237,16076.732141574828,180007.98019553756,1.0,0.0,unknown,False,1.0,True,False
0xa324a5d79ffbddc41b34e2eeaba4cd69344630f2,0.0776,177.46013422823208,14350.26505799701,3882.553101054738,10467.711956942272,1.0,0.0,not_analyzed,False,1.0,True,False
0x792242f15e3604bb74ad03a674f8275f6059236f,0.0775,0.0,261646.468568,100016.96928399999,161629.49928400002,1.0,0.0,unknown,False,1.0,True,False
0x245900ca1d7a22e690d13e108f876e0ee6d657ac,0.0775,0.0,160136.20747807552,0.0,160136.20747807552,1.0,0.0,unknown,False,1.0,True,False
0x099f910722baafae812c5a6d146c18f2796e8fc3,0.0772,0.0,143976.98715695224,0.0,143976.98715695224,1.0,0.0,unknown,False,1.0,True,False
0x52ef1991329e320286ceebb9e556d1fa3fba23e6,0.0771,0.0,134226.88867853148,0.0,134226.88867853148,1.0,0.0,unknown,False,1.0,True,False
0xb39e6a7beaafc2b1cf82ff6eaee21575696e2d10,0.077,0.0,176687.01443384672,44171.75360846,132515.26082538674,1.0,0.0,unknown,False,1.0,True,False
0x7dc16fd0061be98402c368d13bf8a49d87175e6a,0.0769,0.0,121760.66892096002,0.0,121760.66892096002,1.0,0.0,unknown,False,1.0,True,False
0x15206cc58a0a78cc04aeac090dc394966665b529,0.0768,-661.2918926342063,132094.74873748713,16669.572364676398,115425.17637281073,1.0,0.0,unknown,False,1.0,True,False
0x9f5bb2604c3ca0b0650fd5ffd6381b64893e5130,0.0767,0.0,107675.80874421891,0.0,107675.80874421891,1.0,0.0,unknown,False,1.0,True,False
0x3364e2330b48a0eadf845d99203e68776fcba6e3,0.0767,0.0,408532.96370453626,297532.11,111000.85370453628,1.0,0.0,unknown,False,1.0,True,False
0xf58185e5efe3e6e0820ca8319f2caa5d789dc47f,0.0766,0.0,225154.24930888228,122746.06178437124,102408.18752451104,1.0,0.0,unknown,False,1.0,True,False
0xea0a9d028ccb3b0e1c2769d4cf2540f0ad6d3926,0.0765,0.0,110392.04727070137,12336.823782264208,98055.22348843716,1.0,0.0,not_analyzed,False,1.0,True,False
0x19b588d305cca1a81e28cfaca15fe20d64e16790,0.0765,0.0,100000.0,0.0,100000.0,1.0,0.0,unknown,False,1.0,True,False
0x809fe1db6e2638bfe1dea3c08d338d34fde38261,0.0765,0.0,102187.9,2100.0,100087.9,1.0,0.0,unknown,False,1.0,True,False
0x1aba578d316728209e2f0cb6de2ba26a754985f5,0.0765,0.0,97564.0261337409,0.0,97564.0261337409,1.0,0.0,not_analyzed,False,1.0,True,False
0xce2f454aadcbf48eb6770bff6cabb8ad8cff60bf,0.0764,0.0,112123.1962993315,23993.0,88130.1962993315,1.0,0.0,not_analyzed,False,1.0,True,False
0x1a60ba88717f026366399e5c9c3f3da06b4c3a12,0.0764,0.0,90876.55220115061,0.0,90876.55220115061,1.0,0.0,not_analyzed,False,1.0,True,False
0x6df180b340a49883b253520b4d413b11e7030c2b,0.0764,0.0,175920.54062752234,85887.94585903961,90032.59476848273,1.0,0.0,not_analyzed,False,1.0,True,False
0xeb1e65ce7e6653d663155b2ee3364af88b9345b4,0.0764,0.0,93649.12590204013,0.0,93649.12590204013,1.0,0.0,not_analyzed,False,1.0,True,False
0x8dfed8d777e0487772d88168e1d7b787566b70a4,0.0763,0.0,85986.29284705545,0.0,85986.29284705545,1.0,0.0,not_analyzed,False,1.0,True,False
0xf6d41a476248446a4f4d2997ed00a7c8b7b67ae5,0.0763,0.0,89500.5025,7500.0,82000.5025,1.0,0.0,not_analyzed,False,1.0,False,True
0x06d66bcb85655c9ba4c42a6df1f182102ae466c5,0.0763,0.0,100163.1355,18500.0,81663.1355,1.0,0.0,not_analyzed,False,1.0,True,False
0x80bb348ea0124f6d6d3356ca4cae55f61d81256e,0.0762,0.0,75016.71709175213,0.0,75016.71709175213,1.0,0.0,not_analyzed,False,1.0,True,False
0x5c21c065c5e868bc5ceb8b091cad2f7f492be69d,0.0762,0.0,100334.0,25000.0,75334.0,1.0,0.0,not_analyzed,False,1.0,False,True
0xb22ff612e68cfdd7eb51f1d582713cb8fe3af2fd,0.0762,0.0,79787.0,0.0,79787.0,1.0,0.0,not_analyzed,False,1.0,True,False
0x75de8e33cc2b242b63e8992b70fe4544ccb3592b,0.0761,0.0,934033.4226119798,860640.3133650001,73393.1092469797,1.0,0.0,not_analyzed,False,1.0,True,False
0xeb8f1ae73761c64dd3724e7f6f8345d713b4fdf9,0.0761,0.0,72264.34760433371,0.0,72264.34760433371,1.0,0.0,not_analyzed,False,1.0,True,False
0xcbe885903ccfd15f3720f9e4bf4487545881ad1e,0.0761,0.0,72721.65402223999,0.0,72721.65402223999,1.0,0.0,not_analyzed,False,1.0,True,False
0x60d034ddc71efe8cc23687af34b088036e499985,0.0761,0.0,69678.56815845054,678.0,69000.56815845054,1.0,0.0,not_analyzed,False,1.0,True,False
0x48fab3ef5a388e8543cfa4da871064b926a5e052,0.0761,0.0,71037.4813328514,0.0,71037.4813328514,1.0,0.0,not_analyzed,False,1.0,True,False
0xd6bf7f07fad44e96c5de7555d0a7923ef493bdea,0.0761,0.0,71591.71191943,0.0,71591.71191943,1.0,0.0,not_analyzed,False,1.0,True,False
0x343ba6c09e3551baea74a2151ce9498763592ca6,0.076,0.0,63419.88775211454,0.0,63419.88775211454,1.0,0.0,not_analyzed,False,1.0,False,True
0x50080a7e1d275fedbb63ee1a925350ea4a269e05,0.076,-2367.2119961420303,146864.60604297643,81422.45999999999,65442.14604297644,1.0,0.0,not_analyzed,False,1.0,True,False
0x3c7093071e2543e98985c5b0c066c68624312029,0.076,60.478582572232554,13159.288910189967,3104.0,10055.288910189967,1.0,0.0,not_analyzed,False,1.0,True,False
0x032a0b095a562cbcd307c9013ef5b30728b2bdd5,0.076,-15533.407375681005,125000.0,60000.0,65000.0,1.0,0.0,not_analyzed,False,1.0,True,False
0x98b18531e887f5c8c69ddb0a25975e326c9b7094,0.0759,0.0,60000.0,0.0,60000.0,1.0,0.0,not_analyzed,False,1.0,False,True
0xaee443a11e44cc1abbdd51769ecf8b9d83109118,0.0759,0.0,70102.53983939192,9727.655745432945,60374.88409395897,1.0,0.0,not_analyzed,False,1.0,True,False
0xae6d1062610a102e04fdbc1837a0036eb69167e0,0.0759,0.0,60830.4658,0.0,60830.4658,1.0,0.0,not_analyzed,False,1.0,False,True
0xd899024fd380e34d31a9862a1b3aeb8c61f68826,0.0759,0.0,55318.18346285918,0.0,55318.18346285918,1.0,0.0,not_analyzed,False,1.0,True,False
0x55247277006a6cbf3c36bb21a9e1157d8c5c4880,0.0759,0.0,55697.3757,0.0,55697.3757,1.0,0.0,not_analyzed,False,1.0,True,False
